Дата,Время,День,Упражнение,Подход,Вес_кг,Повторы,Примечание
14.09.2026,21:00,ПН · PUSH,Жим гантелей на наклонной 30°,1,40,10,
14.09.2026,21:00,ПН · PUSH,Жим гантелей на наклонной 30°,2,44,10,
14.09.2026,21:00,ПН · PUSH,Жим гантелей на наклонной 30°,3,44,9,
14.09.2026,21:00,ПН · PUSH,Жим гантелей на наклонной 30°,4,44,8,
14.09.2026,21:00,ПН · PUSH,Жим штанги лёжа горизонт,1,50,10,
14.09.2026,21:00,ПН · PUSH,Жим штанги лёжа горизонт,2,65,9,
14.09.2026,21:00,ПН · PUSH,Жим штанги лёжа горизонт,3,65,8,
14.09.2026,21:00,ПН · PUSH,Жим в хаммере наклонной / Смит 30°,1,20,12,
14.09.2026,21:00,ПН · PUSH,Жим в хаммере наклонной / Смит 30°,2,30,12,
14.09.2026,21:00,ПН · PUSH,Жим в хаммере наклонной / Смит 30°,3,30,12,
14.09.2026,21:00,ПН · PUSH,Сведения в кроссовере снизу вверх,1,10,15,
14.09.2026,21:00,ПН · PUSH,Сведения в кроссовере снизу вверх,2,10,15,
14.09.2026,21:00,ПН · PUSH,Сведения в кроссовере снизу вверх,3,10,15,
14.09.2026,21:00,ПН · PUSH,Жим гантелей сидя,1,20,12,
14.09.2026,21:00,ПН · PUSH,Жим гантелей сидя,2,20,12,
14.09.2026,21:00,ПН · PUSH,Жим гантелей сидя,3,20,12,
14.09.2026,21:00,ПН · PUSH,Жим гантелей сидя,4,20,12,
14.09.2026,21:00,ПН · PUSH,Махи гантелями через стороны,1,10,15,
14.09.2026,21:00,ПН · PUSH,Махи гантелями через стороны,2,10,15,
14.09.2026,21:00,ПН · PUSH,Махи гантелями через стороны,3,10,15,
14.09.2026,21:00,ПН · PUSH,Махи гантелями через стороны,4,10,12,
14.09.2026,21:00,ПН · PUSH,Отжимания на брусьях,1,60,12,
14.09.2026,21:00,ПН · PUSH,Отжимания на брусьях,2,60,11,
14.09.2026,21:00,ПН · PUSH,Отжимания на брусьях,3,60,10,
14.09.2026,21:00,ПН · PUSH,Разгибания в блоке с канатом,1,10,14,
14.09.2026,21:00,ПН · PUSH,Разгибания в блоке с канатом,2,10,13,
14.09.2026,21:00,ПН · PUSH,Разгибания в блоке с канатом,3,10,11,
14.09.2026,21:00,ПН · PUSH,Кардио (заминка),,,,20 мин
